visit_date,device_category,page_type,event_category,event_action,count_events,holiday,weekend,day_off
2022-07-10,tablet,B2B,Engagement,Navigate-PDP to SRP,1,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PDP to SRP,56,0,1,1
2022-07-10,tablet,B2B,Engagement,Navigate-PLP To PDP,4,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PLP To PDP,277,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-PLP To PDP,125,0,1,1
2022-07-10,desktop,SRP,Engagement,Navigate-SRP to LDP,36093,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Navigate-SRP to LDP,2036,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Navigate-SRP to LDP,67,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Navigate-SRP to LDP,396,0,1,1
2022-07-10,mobile,SRP,Engagement,Navigate-SRP to LDP,213904,0,1,1
2022-07-10,tablet,SRP,Engagement,Navigate-SRP to LDP,6052,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Review Tab PDP,4,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Review Tab PDP,1,0,1,1
2022-07-10,tablet,SRP,Engagement,Click-SRP Suggestion,18,0,1,1
2022-07-10,desktop,SRP,Engagement,Click-SRP Suggestion,166,0,1,1
2022-07-10,mobile,SRP,Engagement,Click-SRP Suggestion,334,0,1,1
2022-07-10,desktop,Other Consumer Pages,Sign Up,Click-Sign Up Button,162,0,1,1
2022-07-10,tablet,LDP,Sign Up,Click-Sign Up Button,1,0,1,1
2022-07-10,tablet,SRP,Sign Up,Click-Sign Up Button,6,0,1,1
2022-07-10,mobile,LDP,Sign Up,Click-Sign Up Button,6,0,1,1
2022-07-10,mobile,SRP,Sign Up,Click-Sign Up Button,23,0,1,1
2022-07-10,mobile,Other Consumer Pages,Sign Up,Click-Sign Up Button,69,0,1,1
2022-07-10,tablet,Other Consumer Pages,Sign Up,Click-Sign Up Button,4,0,1,1
2022-07-10,desktop,LDP,Sign Up,Click-Sign Up Button,23,0,1,1
2022-07-10,desktop,SRP,Sign Up,Click-Sign Up Button,68,0,1,1
2022-07-10,mobile,SellerNet,Listing Management,Click-Up Listing LMP,11,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-View Video PDP,243,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-View Video PDP,5,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-View Video PDP,43,0,1,1
2022-07-10,desktop,SRP,Search,Display-Search Guess,3070,0,1,1
2022-07-10,tablet,SRP,Search,Display-Search Guess,446,0,1,1
2022-07-10,mobile,SRP,Search,Display-Search Guess,16135,0,1,1
2022-07-10,mobile,B2B,Conversion,Lead-Developer Phone,1,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-General Tab PDP,10,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-General Tab PDP,19,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Listing Tab PDP,22,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-Listing Tab PDP,1,0,1,1
